CLIENTE 103 | Prodotti acquistati:21 | Tempo nel negozio:4.702 s | Tempo in coda:4.395 s | Code cambiate:1 |
CLIENTE 146 | Prodotti acquistati:22 | Tempo nel negozio:0.774 s | Tempo in coda:0.479 s | Code cambiate:1 |
CLIENTE 93 | Prodotti acquistati:51 | Tempo nel negozio:5.368 s | Tempo in coda:5.035 s | Code cambiate:1 |
CLIENTE 90 | Prodotti acquistati:30 | Tempo nel negozio:5.693 s | Tempo in coda:5.358 s | Code cambiate:1 |
CLIENTE 96 | Prodotti acquistati:72 | Tempo nel negozio:5.195 s | Tempo in coda:4.950 s | Code cambiate:1 |
CLIENTE 97 | Prodotti acquistati:79 | Tempo nel negozio:5.195 s | Tempo in coda:4.986 s | Code cambiate:1 |
CLIENTE 102 | Prodotti acquistati:14 | Tempo nel negozio:5.195 s | Tempo in coda:4.853 s | Code cambiate:1 |
CLIENTE 109 | Prodotti acquistati:63 | Tempo nel negozio:5.008 s | Tempo in coda:4.793 s | Code cambiate:1 |
CLIENTE 112 | Prodotti acquistati:84 | Tempo nel negozio:4.555 s | Tempo in coda:4.240 s | Code cambiate:1 |
CLIENTE 110 | Prodotti acquistati:70 | Tempo nel negozio:4.555 s | Tempo in coda:4.180 s | Code cambiate:1 |
CLIENTE 106 | Prodotti acquistati:42 | Tempo nel negozio:5.385 s | Tempo in coda:5.170 s | Code cambiate:1 |
CLIENTE 157 | Prodotti acquistati:99 | Tempo nel negozio:0.797 s | Tempo in coda:0.560 s | Code cambiate:1 |
CLIENTE 149 | Prodotti acquistati:43 | Tempo nel negozio:1.443 s | Tempo in coda:1.055 s | Code cambiate:1 |
CLIENTE 153 | Prodotti acquistati:71 | Tempo nel negozio:0.963 s | Tempo in coda:0.601 s | Code cambiate:1 |
CLIENTE 155 | Prodotti acquistati:85 | Tempo nel negozio:0.797 s | Tempo in coda:0.500 s | Code cambiate:1 |
CLIENTE 115 | Prodotti acquistati:5 | Tempo nel negozio:4.227 s | Tempo in coda:3.913 s | Code cambiate:1 |
CLIENTE 158 | Prodotti acquistati:6 | Tempo nel negozio:0.629 s | Tempo in coda:0.425 s | Code cambiate:1 |
CLIENTE 105 | Prodotti acquistati:35 | Tempo nel negozio:5.751 s | Tempo in coda:5.506 s | Code cambiate:1 |
CLIENTE 108 | Prodotti acquistati:56 | Tempo nel negozio:5.751 s | Tempo in coda:5.505 s | Code cambiate:1 |
CLIENTE 159 | Prodotti acquistati:13 | Tempo nel negozio:0.928 s | Tempo in coda:0.562 s | Code cambiate:1 |
CLIENTE 118 | Prodotti acquistati:26 | Tempo nel negozio:4.667 s | Tempo in coda:4.449 s | Code cambiate:1 |
CLIENTE 124 | Prodotti acquistati:68 | Tempo nel negozio:4.488 s | Tempo in coda:4.173 s | Code cambiate:1 |
CLIENTE 123 | Prodotti acquistati:61 | Tempo nel negozio:4.488 s | Tempo in coda:4.138 s | Code cambiate:1 |
CLIENTE 130 | Prodotti acquistati:10 | Tempo nel negozio:3.952 s | Tempo in coda:3.726 s | Code cambiate:1 |
CLIENTE 136 | Prodotti acquistati:52 | Tempo nel negozio:3.576 s | Tempo in coda:3.350 s | Code cambiate:1 |
CLIENTE 104 | Prodotti acquistati:28 | Tempo nel negozio:6.353 s | Tempo in coda:6.077 s | Code cambiate:1 |
CLIENTE 111 | Prodotti acquistati:77 | Tempo nel negozio:5.523 s | Tempo in coda:5.178 s | Code cambiate:1 |
CLIENTE 114 | Prodotti acquistati:98 | Tempo nel negozio:5.064 s | Tempo in coda:4.814 s | Code cambiate:1 |
CLIENTE 161 | Prodotti acquistati:27 | Tempo nel negozio:1.128 s | Tempo in coda:0.921 s | Code cambiate:1 |
CLIENTE 167 | Prodotti acquistati:69 | Tempo nel negozio:0.996 s | Tempo in coda:0.787 s | Code cambiate:1 |
CLIENTE 165 | Prodotti acquistati:55 | Tempo nel negozio:1.034 s | Tempo in coda:0.763 s | Code cambiate:1 |
CLIENTE 169 | Prodotti acquistati:83 | Tempo nel negozio:0.997 s | Tempo in coda:0.755 s | Code cambiate:1 |
CLIENTE 170 | Prodotti acquistati:90 | Tempo nel negozio:0.762 s | Tempo in coda:0.551 s | Code cambiate:1 |
CLIENTE 173 | Prodotti acquistati:11 | Tempo nel negozio:0.704 s | Tempo in coda:0.399 s | Code cambiate:1 |
CLIENTE 179 | Prodotti acquistati:53 | Tempo nel negozio:0.419 s | Tempo in coda:0.204 s | Code cambiate:1 |
CLIENTE 142 | Prodotti acquistati:94 | Tempo nel negozio:3.935 s | Tempo in coda:3.608 s | Code cambiate:1 |
CLIENTE 139 | Prodotti acquistati:73 | Tempo nel negozio:4.043 s | Tempo in coda:3.818 s | Code cambiate:1 |
CLIENTE 134 | Prodotti acquistati:38 | Tempo nel negozio:4.365 s | Tempo in coda:4.073 s | Code cambiate:1 |
CLIENTE 141 | Prodotti acquistati:87 | Tempo nel negozio:3.935 s | Tempo in coda:3.579 s | Code cambiate:1 |
CLIENTE 121 | Prodotti acquistati:47 | Tempo nel negozio:5.837 s | Tempo in coda:5.523 s | Code cambiate:1 |
CLIENTE 177 | Prodotti acquistati:39 | Tempo nel negozio:1.290 s | Tempo in coda:1.015 s | Code cambiate:1 |
CLIENTE 185 | Prodotti acquistati:95 | Tempo nel negozio:0.816 s | Tempo in coda:0.504 s | Code cambiate:1 |
CLIENTE 148 | Prodotti acquistati:36 | Tempo nel negozio:4.029 s | Tempo in coda:3.795 s | Code cambiate:1 |
CLIENTE 188 | Prodotti acquistati:16 | Tempo nel negozio:0.860 s | Tempo in coda:0.644 s | Code cambiate:1 |
CLIENTE 120 | Prodotti acquistati:40 | Tempo nel negozio:6.681 s | Tempo in coda:6.331 s | Code cambiate:1 |
